new_invoice_id,invoice_number,predicted_risk_label,generation_method,forbidden_hits,forbidden_hit_count,passed_forbidden_checks,includes_invoice_number,includes_amount,includes_due_date,has_polite_tone,invites_reply_or_review,does_not_expose_internal_risk,does_not_auto_send,passed_required_checks,ready_for_human_review
new_inv_00001,NEW-00001,high,groq_llm,[],0,True,True,True,True,True,True,True,True,True,True
new_inv_00002,NEW-00002,high,groq_llm,[],0,True,True,True,True,True,True,True,True,True,True
new_inv_00003,NEW-00003,high,groq_llm,[],0,True,True,True,True,True,True,True,True,True,True
new_inv_00004,NEW-00004,medium,groq_llm,[],0,True,True,True,True,True,True,True,True,True,True
new_inv_00005,NEW-00005,high,groq_llm,[],0,True,True,True,True,True,True,True,True,True,True
new_inv_00006,NEW-00006,high,groq_llm,[],0,True,True,True,True,True,True,True,True,True,True
new_inv_00007,NEW-00007,high,groq_llm,[],0,True,True,True,True,True,True,True,True,True,True
new_inv_00008,NEW-00008,high,groq_llm,[],0,True,True,True,True,True,True,True,True,True,True
new_inv_00009,NEW-00009,low,groq_llm,[],0,True,True,True,True,True,True,True,True,True,True
new_inv_00010,NEW-00010,medium,groq_llm,[],0,True,True,True,True,True,True,True,True,True,True
new_inv_00011,NEW-00011,high,groq_llm,[],0,True,True,True,False,True,True,True,True,False,False
new_inv_00012,NEW-00012,high,groq_llm,[],0,True,True,True,True,True,True,True,True,True,True
new_inv_00013,NEW-00013,high,groq_llm,[],0,True,True,True,True,True,True,True,True,True,True
new_inv_00014,NEW-00014,high,groq_llm,[],0,True,True,True,True,True,True,True,True,True,True
new_inv_00015,NEW-00015,medium,fallback_after_llm_parse_failure,[],0,True,True,True,True,True,True,True,True,True,True
new_inv_00016,NEW-00016,high,groq_llm,[],0,True,True,True,True,True,True,True,True,True,True
new_inv_00017,NEW-00017,medium,groq_llm,[],0,True,True,True,True,True,True,True,True,True,True
new_inv_00018,NEW-00018,low,groq_llm,[],0,True,True,True,True,True,True,True,True,True,True
new_inv_00019,NEW-00019,medium,groq_llm,[],0,True,True,True,False,True,True,True,True,False,False
new_inv_00020,NEW-00020,medium,groq_llm,[],0,True,True,True,True,True,True,True,True,True,True
new_inv_00021,NEW-00021,medium,groq_llm,[],0,True,True,True,False,True,True,True,True,False,False
new_inv_00022,NEW-00022,high,groq_llm,[],0,True,True,True,True,True,True,True,True,True,True
new_inv_00023,NEW-00023,medium,groq_llm,[],0,True,True,True,True,True,True,True,True,True,True
new_inv_00024,NEW-00024,low,groq_llm,[],0,True,True,True,True,True,True,True,True,True,True
new_inv_00025,NEW-00025,low,groq_llm,[],0,True,True,True,True,True,True,True,True,True,True
new_inv_00026,NEW-00026,high,groq_llm,[],0,True,True,True,True,True,True,True,True,True,True
new_inv_00027,NEW-00027,high,groq_llm,[],0,True,True,True,True,True,True,True,True,True,True
new_inv_00028,NEW-00028,low,groq_llm,[],0,True,True,True,True,True,True,True,True,True,True
new_inv_00029,NEW-00029,low,groq_llm,[],0,True,True,True,True,True,True,True,True,True,True
new_inv_00030,NEW-00030,low,groq_llm,[],0,True,True,True,True,True,True,True,True,True,True
